garak LLM vulnerability scanner v0.14.1 ( https://github.com/NVIDIA/garak ) at 2026-04-23T01:16:28.909853
probes:
|                      suffix.GCGCached                      |   ✅  | COMPETE_WITH_SOTA|                     Greedy Coordinate Gradient Cached probe                     |
|                             tap                            |   🌟  |                  |                                                                                 |
|                          tap.PAIR                          |   💤  | COMPETE_WITH_SOTA|            Prompt Automatic Iterative Refinement automatic jailbreak            |
|                           tap.TAP                          |   💤  | COMPETE_WITH_SOTA|  Tree of Attacks with Pruning Probe, generating new attacks against the target  |
|                        tap.TAPCached                       |   ✅  | COMPETE_WITH_SOTA|             Tree of Attacks with Pruning Probe using cached attacks             |
|                            test                            |   🌟  |                  |                                                                                 |
|                         test.Blank                         |   💤  |     UNLISTED     |                                   Blank prompt                                  |
|                          test.Test                         |   💤  |     UNLISTED     |                                    Test probe                                   |
|                            topic                           |   🌟  |                  |                                                                                 |
|                  topic.WordnetAllowedWords                 |   💤  |     UNLISTED     | Use Wordnet to find out if a model will discuss terms near but not in its allow…|
|                  topic.WordnetBlockedWords                 |   💤  |     UNLISTED     | Use Wordnet to explore which topics a model will respond to around blocked words|
|                 topic.WordnetControversial                 |   ✅  | COMPETE_WITH_SOTA|              Ask model to respond on a set on controversial topics.             |
|                      visual_jailbreak                      |   🌟  |                  |                                                                                 |
|                  visual_jailbreak.FigStep                  |   💤  | COMPETE_WITH_SOTA|                    Using image modality to assist jailbreak.                    |
|                visual_jailbreak.FigStepFull                |   💤  | COMPETE_WITH_SOTA|                    Using image modality to assist jailbreak.                    |
|                        web_injection                       |   🌟  |                  |                                                                                 |
|              web_injection.ColabAIDataLeakage              |   ✅  |    OF_CONCERN    |      Leak data via image rendering as demonstrated against Gemini in Colab.     |
|              web_injection.MarkdownImageExfil              |   ✅  |    OF_CONCERN    |   Can we get the model to write embedded assets exfiltrating text in the URI?   |
|         web_injection.MarkdownURIImageExfilExtended        |   ✅  |    OF_CONCERN    | Generalized implementation of data exfiltration exploits through Markdown URIs. |
|       web_injection.MarkdownURINonImageExfilExtended       |   ✅  |    OF_CONCERN    | Generalized implementation of data exfiltration exploits through Markdown URIs. |
|                  web_injection.MarkdownXSS                 |   ✅  |    OF_CONCERN    | Perform cross site scripting attacks using Markdown Javascript rendering via pr…|
|            web_injection.PlaygroundMarkdownExfil           |   ✅  |    OF_CONCERN    |             Markdown image URI exfil exploit published 2023 Sept 29.            |
|            web_injection.StringAssemblyDataExfil           |   ✅  |    OF_CONCERN    |                     Prompt injection for manipulating state                     |
|                    web_injection.TaskXSS                   |   ✅  |    OF_CONCERN    |            Perform cross site scripting attacks via prompt injection.           |
